,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,tot_correct,forfeit,defense
52-20-1,52,20,1,Identify the architect responsible for the structure in this photograph. Click here,SANTIAGO CALATRAVA,ART,23,17,11,10,9,12,14,4.9,2.4
52-20-2,52,20,2,Pictured here are the pieces for what tile-based game? Click here,RUMMIKUB,GAMES/SPORT,46,41,36,38,27,41,40,4.9,1.8
52-20-3,52,20,3,"X should be replaced with what number in the following statement?: A gold alloy with 75% purity, three parts gold and one part another metal, would be described as X-Karat gold.",18,SCIENCE,92,77,65,54,45,65,66,4.9,1.2
52-20-4,52,20,4,"In the first Star Wars film (Episode IV), as Luke prepares to board his X-wing fighter before the attack on the Death Star battle station, which character utters the line 'May the force be with you'?",HAN SOLO,FILM,65,53,53,51,39,53,53,4.9,0.6
52-20-5,52,20,5,"The title character of this Hans Christian Andersen fairy tale emerges from a barleycorn flower, and has uncomfortable interactions with various unsavory creatures (a toad, a stag beetle, and mole) until meeting and marrying a more suitable mate: a tiny fairy prince.",THUMBELINA,LITERATURE,78,69,71,50,45,64,64,4.9,1.5
52-20-6,52,20,6,"The 1990 album Unison, which sold 3 million copies worldwide, was the first anglophone album (and 15th overall) from what recording artist? Her eponymous release would be an even bigger success two years later.",CELINE DION,POP MUSIC,68,58,47,36,22,44,47,4.9,1.5
52-21-1,52,21,1,Who is the current Prime Minister and head of the government of the Republic of Iraq?,NOURI AL-MALIKI,CURR EVENTS,74,63,45,34,23,45,48,4.5,1.3
52-21-2,52,21,2,"In the same year that former U.S. Secretary of State George Marshall was awarded the Nobel Peace Prize as a result of his work on his namesake reconstruction plan, British Prime Minister Winston Churchill was awarded a Nobel Prize in what category?",LITERATURE,WORLD HIST,86,81,70,55,40,72,68,4.5,1.4
52-21-3,52,21,3,What is the area of the region bounded by the graphs of y = x2; x = 0; x = 2; and the x-axis?,8/3,MATH,35,34,27,25,20,32,29,4.5,1.6
52-21-4,52,21,4,What type of nut are these? Click here,HAZELNUTS/FILBERTS,FOOD/DRINK,68,57,48,46,41,48,51,4.5,1.0
52-21-5,52,21,5,"Name the film, scheduled to be released in the U.S. in July of 2012, which will be the thirteenth feature film produced by Pixar Animation Studios, and the studio's first fairy tale, as well as its first with a female main protagonist.",BRAVE,FILM,63,51,48,37,25,51,47,4.5,1.3
52-21-6,52,21,6,"Who celebrated his 50th birthday by premiering his Symphony No. 5 in E flat major at the Helsinki City Orchestra on December 8, 1915?",JEAN SIBELIUS,CLASS MUSIC,70,47,30,12,8,33,33,4.5,2.3
52-22-1,52,22,1,"What is the last name of the family who, with their house staff, are the main subjects of the television series Downton Abbey?",CRAWLEY,TELEVISION,58,44,40,38,21,39,41,6.8,1.3
52-22-2,52,22,2,What is the world's most populous primarily Spanish-speaking country?,MEXICO,GEOGRAPHY,86,82,75,73,71,84,79,6.8,0.9
52-22-3,52,22,3,"In the Apollo 11 space mission, where humans walked on the moon for the first time, the Lunar Module was named Eagle. What was the name of the Command/Service Module, manned by Michael Collins during the landing itself (it would not be the last NASA craft so named)?",COLUMBIA,AMER HIST,58,34,25,23,11,33,31,6.8,1.9
52-22-4,52,22,4,"Cray, Burroughs, Eckert-Mauchly, and Wang are all names of current or former companies whose business was the manufacture of what?",COMPUTERS,BUS/ECON,90,75,67,49,38,64,64,6.8,1.6
52-22-5,52,22,5,"The title characters of Alexandre Dumas's The Three Musketeers are Athos, Porthos, and Aramis, but the story tells the tale of what other adventurer, as he travels to Paris to join the prestigious Mousquetaires de la garde?",D'ARTAGNAN,LITERATURE,89,83,75,65,43,72,72,6.8,1.3
52-22-6,52,22,6,Identify this man. Click here,CONRAD MURRAY,CURR EVENTS,20,19,17,15,13,18,18,6.8,2.0
52-23-1,52,23,1,"Name either of the two main gangs at Rydell High School (one male, one female) identified by name in the 1978 film Grease.","T-BIRDS, PINK LADIES",FILM,78,62,68,57,53,64,64,4.5,0.7
52-23-2,52,23,2,"What is the name for a particular type of musical comedy theatrical production, well known in the British Commonwealth but much less so in the U.S., which is normally based on traditional children's tales, known (and popular) for its numerous performance conventions, and usually performed during the holiday season?",PANTOMIME,THEATRE,44,28,19,16,10,20,23,4.5,2.0
52-23-3,52,23,3,"An organization known as the Neutral Nations Supervisory Commission, which presently is composed of members of the Swiss and Swedish Armed Forces, was created as part of the armistice agreement that ended what?",KOREAN WAR,WORLD HIST,51,21,13,6,3,17,18,4.5,1.3
52-23-4,52,23,4,What is the common name for the section of the musical instrument highlighted in this image? Click here,SCROLL,CLASS MUSIC,55,35,32,24,18,40,35,4.5,1.8
52-23-5,52,23,5,"What is the term, from Quechua for plain, used to describe the temperate lowlands which cover most of Uruguay and central Argentina?",PAMPAS,GEOGRAPHY,81,74,51,39,24,52,54,4.5,1.4
52-23-6,52,23,6,"This two-word phrase, which occurs repeatedly in both the Old and New Testaments, is common in Christian liturgy, and comes from the Greek for 'Lord have mercy'.",KYRIE ELEISON,LIFESTYLE,62,50,40,25,14,36,39,4.5,1.6
52-24-1,52,24,1,"One of the most widely recognized 'constructed words', created to demonstrate irregularities in spelling in the English language (and, in some cases, the need for spelling reform) is the fake word ghoti, which is a re-spelling of (and thus pronounced like) what common word?",FISH,LANGUAGE,72,62,54,40,30,55,53,4.4,1.1
52-24-2,52,24,2,"In Rudyard Kipling's short story Rikki-Tikki-Tavi, what type of animal is the title character?",MONGOOSE,LITERATURE,87,77,65,54,41,69,66,4.4,1.0
52-24-3,52,24,3,"This term was used in Ancient Rome to refer to a resident of the Roman province of Arabia, and by the time of the Crusades had evolved into a term for any follower of Islam.",SARACEN,WORLD HIST,46,28,15,6,5,17,19,4.4,1.5
52-24-4,52,24,4,What is the title of the song in this audio clip (28 seconds)? Click here,IN THE MOOD,POP MUSIC,73,56,49,47,31,47,51,4.4,1.6
52-24-5,52,24,5,A 6 foot 3-1/2 inch tall white rabbit is the title character of what Pulitzer Prize-winning play from 1944?,HARVEY,THEATRE,86,78,67,45,40,62,63,4.4,1.5
52-24-6,52,24,6,"The type of roof on this building is known simply as a French roof, but is also known as what, after the 17th c. French architect who first popularized it? Click here",MANSARD,ART,63,45,32,23,15,34,36,4.4,2.3
52-25-1,52,25,1,"The men's basketball team for this university, now a member of the Big East Conference, was a #1 seed in the NCAA Men's Division I Basketball Tournament in the years 1980, 1981, and 1982, but lost its first game of the tournament each of those years.",DEPAUL BLUE DEMONS,GAMES/SPORT,27,20,19,9,5,10,16,6.7,1.9
52-25-2,52,25,2,"Dancing in the Street, a hit for David Bowie and Mick Jagger in 1985 (and slightly less so for Van Halen in 1982), was originally recorded and made famous by what Motown singing group?",MARTHA AND THE VANDELLAS,POP MUSIC,64,56,38,32,21,42,43,6.7,1.7
52-25-3,52,25,3,"The Earl Hamner, Jr. novel Spencer's Mountain, and subsequent 1963 Henry Fonda/Maureen O'Hara film of the same name, provided the basis for what 1970s/early 80s television drama set in 1930s/40s America?",THE WALTONS,TELEVISION,73,65,46,32,29,47,49,6.7,1.5
52-25-4,52,25,4,"In 1957, a Patrick Dennis novel was adapted into a stage play and later a film, with Rosalind Russell in the title role in both. In 1966, a musical version opened on Broadway, with Angela Lansbury originating and winning a Tony for her titular performance. Give the name of either the novel or the enduring Broadway musical.",AUNTIE MAME/MAME,THEATRE,60,54,40,30,18,45,42,6.7,1.9
52-25-5,52,25,5,"Named after the English physicist who predicted its existence in 1964, this hypothetical elementary particle, known also as the God particle and expected to have no spin and a neutral charge, validates the Standard Model by explaining the origin of mass of elementary particles.",HIGGS BOSON,SCIENCE,76,66,54,41,35,58,55,6.7,1.5
52-25-6,52,25,6,"Under the standard rules of chess, there is one piece (i.e. one type of piece) which must remain on squares of the same color for the entire game. Which piece is it?",BISHOP,GAMES/SPORT,95,93,89,89,77,93,90,6.7,0.4
53-1-1,53,1,1,The specific type of medical device pictured here is named after the 20th c. American physician who first designed it. What was his last name? Click here,FOLEY,SCIENCE,24,21,17,14,9,14,17,6.2,1.9
53-1-2,53,1,2,The web's most popular online dating service geared (and marketed) specifically toward people who are already in a relationship takes as its name two currently popular names in the United States for baby girls. What is the website's name?,ASHLEY MADISON,LIFESTYLE,70,61,57,49,41,54,54,6.2,1.3
53-1-3,53,1,3,"Identify the hockey penalty defined by Rule 42 of the Official NHL Rulebook (with revealing words redacted) thus: ... shall mean the actions of a player who, as a result of distance traveled, shall violently check an opponent in any manner. _____ may be the result of a check into the boards, into the goal frame or in open ice...",CHARGING,GAMES/SPORT,45,39,29,19,14,22,27,6.2,1.5
53-1-4,53,1,4,"Name the former U.S. Senator from Tennessee (and future Nobel Peace Prize winner) who succeeded Henry Stimson as Secretary of State, and was replaced eleven years later by Edward Stettinius, Jr., leaving office as the longest-serving Secretary of State in U.S. history (a distinction he still holds today).",CORDELL HULL,AMER HIST,39,20,11,4,3,11,14,6.2,1.6
53-1-5,53,1,5,Identify this newsmaker. Click here,FRANCOIS HOLLANDE,CURR EVENTS,82,63,55,38,27,44,49,6.2,1.2
53-1-6,53,1,6,"From the Greek for black and islands, this is a term commonly used for a region of Oceania directly northeast of Australia, including the islands of New Guinea, Fiji, and Vanuatu.",MELANESIA,GEOGRAPHY,82,54,44,20,9,31,36,6.2,1.5
53-2-1,53,2,1,One of the belligerent parties during the Spanish-American War of 1898 was a revolutionary organization known as the Katipunan. In what country were the Katipunan based?,THE PHILIPPINES,WORLD HIST,85,73,56,32,19,45,49,5.0,1.7
53-2-2,53,2,2,"Masovia, Silesia, Lublin, and Pomerania are among the more populous voivodeships of what European country?",POLAND,GEOGRAPHY,83,62,44,35,18,39,44,5.0,1.6
53-2-3,53,2,3,"Lon Chaney, Charles Laughton, Anthony Quinn, Anthony Hopkins, and Mandy Patinkin have all portrayed what iconic literary character on screen?",QUASIMODO/THE HUNCHBACK OF NOTRE DAME,FILM,63,36,24,19,6,22,26,5.0,1.1
53-2-4,53,2,4,"With an electric charge of +1e, this is defined in particle physics as the antiparticle of the electron (and is occasionally referred to simply as the antielectron).",POSITRON,SCIENCE,83,62,47,40,32,48,50,5.0,1.1
53-2-5,53,2,5,"A groundbreaking 1963 book describing a widespread phenomenon introduced by the author as the problem that has no name was given a name, in her book's title. What was it?",THE FEMININE MYSTIQUE,LITERATURE,53,40,28,21,12,31,30,5.0,1.8
53-2-6,53,2,6,This is a screenshot from what video game for the Atari 2600? Click here,ADVENTURE,GAMES/SPORT,38,26,28,18,12,17,22,5.0,1.7
53-3-1,53,3,1,"Among the main characters on the television series Cheers when its run concluded in May 1993, the only one never to appear subsequently on the series Frasier was the character played by whom?",KIRSTIE ALLEY,TELEVISION,54,46,33,25,22,35,35,4.0,1.4
53-3-2,53,3,2,"In February of 1945, the leaders of Great Britain, the Soviet Union, and the United States gathered to settle the occupation of post-war Germany (among other items) at a meeting held in (or technically, near) what European city?",YALTA,WORLD HIST,65,66,64,44,24,45,50,4.0,1.0
53-3-3,53,3,3,"Housed inside a former power station, the world's most-visited art gallery dedicated primarily to modern and contemporary art is located in what city?",LONDON,ART,81,59,48,35,29,35,45,4.0,1.5
53-3-4,53,3,4,What do the two letters in this logo stand for? Click here,CIVIL DEFENSE,LIFESTYLE,52,32,21,18,9,16,23,4.0,2.0
53-3-5,53,3,5,"One of mankind's earliest successful attempts to document and understand the night sky is believed to be found in a text called the Dresden Codex, which was the work of what ancient civilization?",MAYAN,SCIENCE,61,40,34,34,34,32,38,4.0,1.9
53-3-6,53,3,6,"Featuring then-unknown Toshiro Mifune in a starring role, 1948's Drunken Angel was the breakthrough film of what internationally acclaimed director?",AKIRA KUROSAWA,FILM,95,89,88,64,47,67,73,4.0,1.3
53-4-1,53,4,1,"The posthumously published 1977 autobiography American Hunger, which deals with the author's involvement with a Marxist writing club and eventual withdrawal from the communist party, was a follow-up to what 1945 book, about the author's southern upbringing and young adulthood in Chicago?",BLACK BOY,LITERATURE,24,17,9,5,2,11,11,6.2,1.8
53-4-2,53,4,2,"At a fixed temperature, the volume of a gas is inversely proportional to the pressure exerted by the gas. This is, simply stated, a law in the field of chemistry first published (and subsequently named after) what 17th c. scientist?",ROBERT BOYLE,SCIENCE,81,64,61,42,28,49,52,6.2,1.2
53-4-3,53,4,3,The locations noted in this map are host sites for what 2012 event? Click here,2012 UEFA EUROPEAN FOOTBALL CHAMPIONSHIP,GAMES/SPORT,65,59,45,35,28,38,44,6.2,1.6
53-4-4,53,4,4,"After the Gold Rush, If I Could Only Remember My Name, Songs for Beginners, and an eponymous record were four solo albums released in 1970/71 by members of what rock band?","CROSBY, STILLS, NASH & YOUNG",POP MUSIC,76,65,50,42,26,46,49,6.2,1.1
53-4-5,53,4,5,"The world's first nuclear submarine, whose current berth is the Submarine Force Library and Museum in Groton, Connecticut, was launched by the U.S. Navy in January, 1954. What was her name?",USS NAUTILUS,AMER HIST,76,53,43,28,11,36,39,6.2,1.6
53-4-6,53,4,6,This Canadian province is known as the 'Birthplace of the Confederation' for its role in hosting the 1864 conference to debate union of the British colonies (although this province itself was the seventh to join the confederation).,PRINCE EDWARD ISLAND,GEOGRAPHY,45,30,17,14,8,19,21,6.2,1.7
53-5-1,53,5,1,What is the stage name of this pop music superstar? Click here,RAIN,POP MUSIC,39,23,23,12,8,21,20,4.9,2.0
53-5-2,53,5,2,"The type of object in this photograph was, for most of its useful existence, colloquially named after what company? Click here",IBM,SCIENCE,81,63,65,45,38,52,56,4.9,1.3
53-5-3,53,5,3,"Zeus Carver, Matt Farrell, General Ramon Esperanza, and Hans Gruber are all characters from what popular series of films?",DIE HARD,FILM,91,81,78,65,51,69,71,4.9,0.6
